对象,分组,汉字,权重,基准拼音,方案,异常读音,匹配状态
Jun Da 现代汉语单字字频表,junda,躼,10,uu,microsoft,uu,ok
Jun Da 现代汉语单字字频表,junda,躼,10,uu,xiaohe,uu,ok
Jun Da 现代汉语单字字频表,junda,艈,5,uu,microsoft,uu,ok
Jun Da 现代汉语单字字频表,junda,艈,5,uu,xiaohe,uu,ok
Jun Da 现代汉语单字字频表,junda,蓞,3,uu,microsoft,uu,ok
Jun Da 现代汉语单字字频表,junda,蓞,3,uu,xiaohe,uu,ok
Jun Da 现代汉语单字字频表,junda,聣,3,uu,microsoft,uu,ok
Jun Da 现代汉语单字字频表,junda,聣,3,uu,xiaohe,uu,ok
Jun Da 现代汉语单字字频表,junda,莻,2,neus,microsoft,neus,ok
Jun Da 现代汉语单字字频表,junda,莻,2,neus,xiaohe,neus,ok
Jun Da 现代汉语单字字频表,junda,鈪,1,ngag,microsoft,ngag,ok
Jun Da 现代汉语单字字频表,junda,鈪,1,ngag,xiaohe,ngag,ok
Jun Da 现代汉语单字字频表,junda,虲,1,uu,microsoft,uu,ok
Jun Da 现代汉语单字字频表,junda,虲,1,uu,xiaohe,uu,ok
