分组,书名,排名,汉字,权重,基准拼音,拼音变体,全拼键位数,全拼最短,全拼最长,匹配状态,microsoft_基准码,microsoft_所有码,microsoft_覆盖,microsoft_异常读音,xiaohe_基准码,xiaohe_所有码,xiaohe_覆盖,xiaohe_异常读音
junda,Jun Da 现代汉语单字字频表,1,的,7922684,de,de|di,2,2,2,ok,de,de|di,True,,de,de|di,True,
junda,Jun Da 现代汉语单字字频表,2,一,3050722,yi,yi,2,2,2,ok,yi,yi,True,,yi,yi,True,
junda,Jun Da 现代汉语单字字频表,3,是,2615490,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,4,不,2237915,bu,bu,2,2,2,ok,bu,bu,True,,bu,bu,True,
junda,Jun Da 现代汉语单字字频表,5,了,2128528,le,le|liao,2,2,4,ok,le,le|lc,True,,le,le|ln,True,
junda,Jun Da 现代汉语单字字频表,6,在,2009181,zai,zai,3,3,3,ok,zl,zl,True,,zd,zd,True,
junda,Jun Da 现代汉语单字字频表,7,人,1867999,ren,ren,3,3,3,ok,rf,rf,True,,rf,rf,True,
junda,Jun Da 现代汉语单字字频表,8,有,1782004,you,you,3,3,3,ok,yb,yb,True,,yz,yz,True,
junda,Jun Da 现代汉语单字字频表,9,我,1690048,wo,wo,2,2,2,ok,wo,wo,True,,wo,wo,True,
junda,Jun Da 现代汉语单字字频表,10,他,1595761,ta,ta,2,2,2,ok,ta,ta,True,,ta,ta,True,
junda,Jun Da 现代汉语单字字频表,11,这,1552042,zhe,zhe|zhei,3,3,4,ok,ve,ve|vz,True,,ve,ve|vw,True,
junda,Jun Da 现代汉语单字字频表,12,个,1199580,ge,ge,2,2,2,ok,ge,ge,True,,ge,ge,True,
junda,Jun Da 现代汉语单字字频表,13,们,1169853,men,men,3,3,3,ok,mf,mf,True,,mf,mf,True,
junda,Jun Da 现代汉语单字字频表,14,中,1104541,zhong,zhong,5,5,5,ok,vs,vs,True,,vs,vs,True,
junda,Jun Da 现代汉语单字字频表,15,来,1079469,lai,lai,3,3,3,ok,ll,ll,True,,ld,ld,True,
junda,Jun Da 现代汉语单字字频表,16,上,1069575,shang,shang,5,5,5,ok,uh,uh,True,,uh,uh,True,
junda,Jun Da 现代汉语单字字频表,17,大,1054064,da,da|dai,2,2,3,ok,da,da|dl,True,,da,da|dd,True,
junda,Jun Da 现代汉语单字字频表,18,为,1039036,wei,wei,3,3,3,ok,wz,wz,True,,ww,ww,True,
junda,Jun Da 现代汉语单字字频表,19,和,1010465,he,he|huo,2,2,3,ok,he,he|ho,True,,he,he|ho,True,
junda,Jun Da 现代汉语单字字频表,20,国,985350,guo,guo,3,3,3,ok,go,go,True,,go,go,True,
junda,Jun Da 现代汉语单字字频表,21,地,969349,de,de|di,2,2,2,ok,de,de|di,True,,de,de|di,True,
junda,Jun Da 现代汉语单字字频表,22,到,965035,dao,dao,3,3,3,ok,dk,dk,True,,dc,dc,True,
junda,Jun Da 现代汉语单字字频表,23,以,910627,yi,yi,2,2,2,ok,yi,yi,True,,yi,yi,True,
junda,Jun Da 现代汉语单字字频表,24,说,874977,shui,shui|shuo,4,4,4,ok,uv,uv|uo,True,,uv,uv|uo,True,
junda,Jun Da 现代汉语单字字频表,25,时,833532,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,26,要,811011,yao,yao,3,3,3,ok,yk,yk,True,,yc,yc,True,
junda,Jun Da 现代汉语单字字频表,27,就,771108,jiu,jiu,3,3,3,ok,jq,jq,True,,jq,jq,True,
junda,Jun Da 现代汉语单字字频表,28,出,755256,chu,chu,3,3,3,ok,iu,iu,True,,iu,iu,True,
junda,Jun Da 现代汉语单字字频表,29,会,734888,hui,hui|kuai,3,3,4,ok,hv,hv|ky,True,,hv,hv|kk,True,
junda,Jun Da 现代汉语单字字频表,30,可,723108,ke,ke,2,2,2,ok,ke,ke,True,,ke,ke,True,
junda,Jun Da 现代汉语单字字频表,31,也,710259,ye,ye,2,2,2,ok,ye,ye,True,,ye,ye,True,
junda,Jun Da 现代汉语单字字频表,32,你,705205,ni,ni,2,2,2,ok,ni,ni,True,,ni,ni,True,
junda,Jun Da 现代汉语单字字频表,33,对,703632,dui,dui,3,3,3,ok,dv,dv,True,,dv,dv,True,
junda,Jun Da 现代汉语单字字频表,34,生,682031,sheng,sheng,5,5,5,ok,ug,ug,True,,ug,ug,True,
junda,Jun Da 现代汉语单字字频表,35,能,665358,neng,neng,4,4,4,ok,ng,ng,True,,ng,ng,True,
junda,Jun Da 现代汉语单字字频表,36,而,649239,er,er,2,2,2,ok,or,or,True,,er,er,True,
junda,Jun Da 现代汉语单字字频表,37,子,640640,zi,zi,2,2,2,ok,zi,zi,True,,zi,zi,True,
junda,Jun Da 现代汉语单字字频表,38,那,638538,na,na|nei,2,2,3,ok,na,na|nz,True,,na,na|nw,True,
junda,Jun Da 现代汉语单字字频表,39,得,630688,de,de|dei,2,2,3,ok,de,de|dz,True,,de,de|dw,True,
junda,Jun Da 现代汉语单字字频表,40,于,630524,yu,yu,2,2,2,ok,yu,yu,True,,yu,yu,True,
junda,Jun Da 现代汉语单字字频表,41,着,626326,zhao,zhao|zhe|zhu|zhuo,4,3,4,ok,vk,vk|ve|vu|vo,True,,vc,vc|ve|vu|vo,True,
junda,Jun Da 现代汉语单字字频表,42,下,621185,xia,xia,3,3,3,ok,xw,xw,True,,xx,xx,True,
junda,Jun Da 现代汉语单字字频表,43,自,611687,zi,zi,2,2,2,ok,zi,zi,True,,zi,zi,True,
junda,Jun Da 现代汉语单字字频表,44,之,609003,zhi,zhi,3,3,3,ok,vi,vi,True,,vi,vi,True,
junda,Jun Da 现代汉语单字字频表,45,年,601887,nian,nian,4,4,4,ok,nm,nm,True,,nm,nm,True,
junda,Jun Da 现代汉语单字字频表,46,过,589925,guo,guo,3,3,3,ok,go,go,True,,go,go,True,
junda,Jun Da 现代汉语单字字频表,47,发,572904,fa,fa,2,2,2,ok,fa,fa,True,,fa,fa,True,
junda,Jun Da 现代汉语单字字频表,48,后,570764,hou,hou,3,3,3,ok,hb,hb,True,,hz,hz,True,
junda,Jun Da 现代汉语单字字频表,49,作,542791,zuo,zuo,3,3,3,ok,zo,zo,True,,zo,zo,True,
junda,Jun Da 现代汉语单字字频表,50,里,537795,li,li,2,2,2,ok,li,li,True,,li,li,True,
junda,Jun Da 现代汉语单字字频表,51,用,535480,yong,yong,4,4,4,ok,ys,ys,True,,ys,ys,True,
junda,Jun Da 现代汉语单字字频表,52,道,534695,dao,dao,3,3,3,ok,dk,dk,True,,dc,dc,True,
junda,Jun Da 现代汉语单字字频表,53,行,531848,hang,hang|xing,4,4,4,ok,hh,hh|x;,True,,hh,hh|xk,True,
junda,Jun Da 现代汉语单字字频表,54,所,523028,suo,suo,3,3,3,ok,so,so,True,,so,so,True,
junda,Jun Da 现代汉语单字字频表,55,然,511026,ran,ran,3,3,3,ok,rj,rj,True,,rj,rj,True,
junda,Jun Da 现代汉语单字字频表,56,家,509790,jia,jia,3,3,3,ok,jw,jw,True,,jx,jx,True,
junda,Jun Da 现代汉语单字字频表,57,种,503344,zhong,zhong,5,5,5,ok,vs,vs,True,,vs,vs,True,
junda,Jun Da 现代汉语单字字频表,58,事,499172,shi,shi,3,3,3,ok,ui,ui,True,,ui,ui,True,
junda,Jun Da 现代汉语单字字频表,59,成,499007,cheng,cheng,5,5,5,ok,ig,ig,True,,ig,ig,True,
junda,Jun Da 现代汉语单字字频表,60,方,492763,fang,fang,4,4,4,ok,fh,fh,True,,fh,fh,True,
junda,Jun Da 现代汉语单字字频表,61,多,481689,duo,duo,3,3,3,ok,do,do,True,,do,do,True,
junda,Jun Da 现代汉语单字字频表,62,经,481338,jing,jing,4,4,4,ok,j;,j;,True,,jk,jk,True,
junda,Jun Da 现代汉语单字字频表,63,么,477969,ma,ma|me|yao,2,2,3,ok,ma,ma|me|yk,True,,ma,ma|me|yc,True,
junda,Jun Da 现代汉语单字字频表,64,去,476270,qu,qu,2,2,2,ok,qv,qv,True,,qv,qv,True,
junda,Jun Da 现代汉语单字字频表,65,法,466816,fa,fa,2,2,2,ok,fa,fa,True,,fa,fa,True,
junda,Jun Da 现代汉语单字字频表,66,学,464261,xue,xue,3,3,3,ok,xt,xt,True,,xt,xt,True,
junda,Jun Da 现代汉语单字字频表,67,如,449036,ru,ru,2,2,2,ok,ru,ru,True,,ru,ru,True,
junda,Jun Da 现代汉语单字字频表,68,都,439568,dou,dou|du,3,2,3,ok,db,db|du,True,,dz,dz|du,True,
junda,Jun Da 现代汉语单字字频表,69,同,437611,tong,tong,4,4,4,ok,ts,ts,True,,ts,ts,True,
junda,Jun Da 现代汉语单字字频表,70,现,433960,xian,xian,4,4,4,ok,xm,xm,True,,xm,xm,True,
junda,Jun Da 现代汉语单字字频表,71,当,429274,dang,dang,4,4,4,ok,dh,dh,True,,dh,dh,True,
junda,Jun Da 现代汉语单字字频表,72,没,428146,mei,mei|mo,3,2,3,ok,mz,mz|mo,True,,mw,mw|mo,True,
junda,Jun Da 现代汉语单字字频表,73,动,426839,dong,dong,4,4,4,ok,ds,ds,True,,ds,ds,True,
junda,Jun Da 现代汉语单字字频表,74,面,425180,mian,mian,4,4,4,ok,mm,mm,True,,mm,mm,True,
junda,Jun Da 现代汉语单字字频表,75,起,424933,qi,qi,2,2,2,ok,qi,qi,True,,qi,qi,True,
junda,Jun Da 现代汉语单字字频表,76,看,424616,kan,kan,3,3,3,ok,kj,kj,True,,kj,kj,True,
junda,Jun Da 现代汉语单字字频表,77,定,422538,ding,ding,4,4,4,ok,d;,d;,True,,dk,dk,True,
junda,Jun Da 现代汉语单字字频表,78,天,419884,tian,tian,4,4,4,ok,tm,tm,True,,tm,tm,True,
junda,Jun Da 现代汉语单字字频表,79,分,419382,fen,fen,3,3,3,ok,ff,ff,True,,ff,ff,True,
junda,Jun Da 现代汉语单字字频表,80,还,415855,hai,hai|huan,3,3,4,ok,hl,hl|hr,True,,hd,hd|hr,True,
junda,Jun Da 现代汉语单字字频表,81,进,412166,jin,jin,3,3,3,ok,jn,jn,True,,jb,jb,True,
junda,Jun Da 现代汉语单字字频表,82,好,411866,hao,hao,3,3,3,ok,hk,hk,True,,hc,hc,True,
junda,Jun Da 现代汉语单字字频表,83,小,410987,xiao,xiao,4,4,4,ok,xc,xc,True,,xn,xn,True,
junda,Jun Da 现代汉语单字字频表,84,部,403066,bu,bu,2,2,2,ok,bu,bu,True,,bu,bu,True,
junda,Jun Da 现代汉语单字字频表,85,其,403028,qi,qi,2,2,2,ok,qi,qi,True,,qi,qi,True,
junda,Jun Da 现代汉语单字字频表,86,些,400528,xie,xie,3,3,3,ok,xx,xx,True,,xp,xp,True,
junda,Jun Da 现代汉语单字字频表,87,主,399693,zhu,zhu,3,3,3,ok,vu,vu,True,,vu,vu,True,
junda,Jun Da 现代汉语单字字频表,88,样,398149,yang,yang,4,4,4,ok,yh,yh,True,,yh,yh,True,
junda,Jun Da 现代汉语单字字频表,89,理,398087,li,li,2,2,2,ok,li,li,True,,li,li,True,
