方案,类型,拼音,按键
microsoft,声母,b,b
microsoft,声母,c,c
microsoft,声母,ch,i
microsoft,声母,d,d
microsoft,声母,f,f
microsoft,声母,g,g
microsoft,声母,h,h
microsoft,声母,j,j
microsoft,声母,k,k
microsoft,声母,l,l
microsoft,声母,m,m
microsoft,声母,n,n
microsoft,声母,p,p
microsoft,声母,q,q
microsoft,声母,r,r
microsoft,声母,s,s
microsoft,声母,sh,u
microsoft,声母,t,t
microsoft,声母,w,w
microsoft,声母,x,x
microsoft,声母,y,y
microsoft,声母,z,z
microsoft,声母,zh,v
microsoft,韵母,a,a
microsoft,韵母,ai,l
microsoft,韵母,an,j
microsoft,韵母,ang,h
microsoft,韵母,ao,k
microsoft,韵母,e,e
microsoft,韵母,ei,z
microsoft,韵母,en,f
microsoft,韵母,eng,g
microsoft,韵母,er,r
microsoft,韵母,i,i
microsoft,韵母,ia,w
microsoft,韵母,ian,m
microsoft,韵母,iang,d
microsoft,韵母,iao,c
microsoft,韵母,ie,x
microsoft,韵母,in,n
microsoft,韵母,ing,;
microsoft,韵母,iong,s
microsoft,韵母,iu,q
microsoft,韵母,o,o
microsoft,韵母,ong,s
microsoft,韵母,ou,b
microsoft,韵母,u,u
microsoft,韵母,ua,w
microsoft,韵母,uai,y
microsoft,韵母,uan,r
microsoft,韵母,uang,d
microsoft,韵母,ue,t
microsoft,韵母,ui,v
microsoft,韵母,un,p
microsoft,韵母,uo,o
microsoft,韵母,v,v
microsoft,韵母,van,r
microsoft,韵母,ve,t
microsoft,韵母,vn,p
microsoft,零声母示例,a,oa
microsoft,零声母示例,ai,ol
microsoft,零声母示例,an,oj
microsoft,零声母示例,ang,oh
microsoft,零声母示例,ao,ok
microsoft,零声母示例,e,oe
microsoft,零声母示例,ei,oz
microsoft,零声母示例,en,of
microsoft,零声母示例,eng,og
microsoft,零声母示例,er,or
microsoft,零声母示例,o,oo
microsoft,零声母示例,ou,ob
xiaohe,声母,b,b
xiaohe,声母,c,c
xiaohe,声母,ch,i
xiaohe,声母,d,d
xiaohe,声母,f,f
xiaohe,声母,g,g
xiaohe,声母,h,h
xiaohe,声母,j,j
xiaohe,声母,k,k
xiaohe,声母,l,l
xiaohe,声母,m,m
xiaohe,声母,n,n
xiaohe,声母,p,p
xiaohe,声母,q,q
xiaohe,声母,r,r
xiaohe,声母,s,s
xiaohe,声母,sh,u
xiaohe,声母,t,t
xiaohe,声母,w,w
xiaohe,声母,x,x
xiaohe,声母,y,y
xiaohe,声母,z,z
xiaohe,声母,zh,v
xiaohe,韵母,a,a
xiaohe,韵母,ai,d
xiaohe,韵母,an,j
xiaohe,韵母,ang,h
xiaohe,韵母,ao,c
xiaohe,韵母,e,e
xiaohe,韵母,ei,w
xiaohe,韵母,en,f
xiaohe,韵母,eng,g
xiaohe,韵母,er,r
xiaohe,韵母,i,i
xiaohe,韵母,ia,x
xiaohe,韵母,ian,m
xiaohe,韵母,iang,l
xiaohe,韵母,iao,n
xiaohe,韵母,ie,p
xiaohe,韵母,in,b
xiaohe,韵母,ing,k
xiaohe,韵母,iong,s
xiaohe,韵母,iu,q
xiaohe,韵母,o,o
xiaohe,韵母,ong,s
xiaohe,韵母,ou,z
xiaohe,韵母,u,u
xiaohe,韵母,ua,x
xiaohe,韵母,uai,k
xiaohe,韵母,uan,r
xiaohe,韵母,uang,l
xiaohe,韵母,ue,t
xiaohe,韵母,ui,v
xiaohe,韵母,un,y
xiaohe,韵母,uo,o
xiaohe,韵母,v,v
xiaohe,韵母,van,r
xiaohe,韵母,ve,t
xiaohe,韵母,vn,y
xiaohe,零声母示例,a,aa
xiaohe,零声母示例,ai,ai
xiaohe,零声母示例,an,an
xiaohe,零声母示例,ang,ah
xiaohe,零声母示例,ao,ao
xiaohe,零声母示例,e,ee
xiaohe,零声母示例,ei,ei
xiaohe,零声母示例,en,en
xiaohe,零声母示例,eng,eg
xiaohe,零声母示例,er,er
xiaohe,零声母示例,o,oo
xiaohe,零声母示例,ou,ou
