书名,方案,正文汉字数,已编码汉字外字符数,跳过汉字数,跳过汉字,输入码键数,电脑距离_px,电脑缺失键数,电脑缺失键,手机距离_px,手机缺失键数,手机缺失键,电脑距离_键距单位,手机距离_键距单位,说明
三体 I：地球往事,全拼,163772,163770,2,啰:1|吋:1,490675,12988331.150538137,0,,258927963.3844761,0,,355844.6890558394,1823436.3618625076,
三体 I：地球往事,微软双拼,163772,163770,2,啰:1|吋:1,327956,10703034.47062197,0,,150573486.69624305,0,,293233.82111293066,1060376.666874951,分号按大写/Shift 键位置计入；未额外计入层切换动作
三体 I：地球往事,小鹤双拼,163772,163770,2,啰:1|吋:1,327956,10624764.298632642,0,,145710010.51264566,0,,291089.4328392505,1026126.8345960962,
三体 II：黑暗森林,全拼,278220,278220,0,,832459,22170246.51637011,0,,441298649.45182955,0,,607404.0141471263,3107736.9679706306,
三体 II：黑暗森林,微软双拼,278220,278220,0,,556979,17952852.118585046,0,,254548217.63100806,0,,491858.96215301496,1792593.0819085075,分号按大写/Shift 键位置计入；未额外计入层切换动作
三体 II：黑暗森林,小鹤双拼,278220,278220,0,,556979,18032066.0039707,0,,247765507.51681605,0,,494029.2055882384,1744827.5177240567,
三体 III：死神永生,全拼,326140,326035,105,奧:29|歩:13|査:11|囯:6|吋:5|巿:4|徳:4|橫:4|淸:3|毀:3|懾:3|毎:2|丟:2|昽:2|寘:1|晞:1|沖:1|榣:1|暈:1|枓:1,982887,26363287.25776544,0,,515320331.9878923,0,,722281.8426785051,3629016.422449946,
三体 III：死神永生,微软双拼,326140,326035,105,奧:29|歩:13|査:11|囯:6|吋:5|巿:4|徳:4|橫:4|淸:3|毀:3|懾:3|毎:2|丟:2|昽:2|寘:1|晞:1|沖:1|榣:1|暈:1|枓:1,653592,21157768.029076092,0,,297786810.5655586,0,,579664.877508934,2097090.2152504127,分号按大写/Shift 键位置计入；未额外计入层切换动作
三体 III：死神永生,小鹤双拼,326140,326035,105,奧:29|歩:13|査:11|囯:6|吋:5|巿:4|徳:4|橫:4|淸:3|毀:3|懾:3|毎:2|丟:2|昽:2|寘:1|晞:1|沖:1|榣:1|暈:1|枓:1,653592,21113478.0112249,0,,288735257.5672288,0,,578451.452362326,2033346.8842762592,
福尔摩斯探案全集图注本套装共9册,全拼,1613101,1613070,31,獚:10|啰:5|堃:3|獴:3|犎:2|竃:1|嫚:1|紥:1|豸:1|抺:1|嗐:1|覧:1|書:1,4675588,125710835.80688012,0,,2492739087.025061,0,,3444132.487859729,17554500.612852544,
福尔摩斯探案全集图注本套装共9册,微软双拼,1613101,1613070,31,獚:10|啰:5|堃:3|獴:3|犎:2|竃:1|嫚:1|紥:1|豸:1|抺:1|嗐:1|覧:1|書:1,3243387,106426375.70355822,0,,1537702464.926025,0,,2915791.1151659787,10828890.598070597,分号按大写/Shift 键位置计入；未额外计入层切换动作
福尔摩斯探案全集图注本套装共9册,小鹤双拼,1613101,1613070,31,獚:10|啰:5|堃:3|獴:3|犎:2|竃:1|嫚:1|紥:1|豸:1|抺:1|嗐:1|覧:1|書:1,3243387,106929854.75386658,0,,1495513379.3276017,0,,2929585.0617497694,10531784.361461984,
